amfi_code,start_nav,end_nav,cagr
120505,135.872,473.764,0.5163892474227718
119598,89.8738,309.205,0.5096321437793401
149324,81.6814,279.7511,0.5073573051158484
148569,28.862,97.7435,0.5017137408003938
148567,70.2514,230.2708,0.48546114133529206
120843,49.9131,163.2397,0.48435261315882916
100033,107.3758,342.0072,0.4713283804279478
149323,78.4622,245.3651,0.4623481150011528
119094,68.3023,203.8581,0.43978467938224286
119551,54.3856,149.3216,0.40027360839965875
118632,42.8339,110.5554,0.37171571434369
101206,305.0996,773.2939,0.3634346138918483
120504,60.1474,151.1311,0.35949932050849154
148568,84.0757,205.451,0.34693278049810217
119552,58.4174,137.7323,0.3309585343291288
125497,560.1443,1204.9571,0.2908939181250678
120503,55.3983,118.1496,0.2871977519716802
102885,89.8728,187.7797,0.2784197053352988
120506,202.0453,404.4207,0.2602640313458462
102887,191.0721,378.9657,0.25641817181870263
118634,69.1076,134.6683,0.24905009183643667
118633,47.1836,91.601,0.24748801080643745
118635,170.3428,326.7508,0.24250351487170496
120841,275.837,482.127,0.20458183813898856
149322,348.7159,606.2349,0.2024205635316143
125498,117.5969,188.3619,0.17003556518261354
101207,38.5736,53.9836,0.11855469085475767
119093,41.814,58.4203,0.11792848617173246
120507,285.7447,388.5939,0.10791369741801704
120844,3180.6318,4268.5497,0.10303420960397913
120842,62.1265,82.6457,0.09980188140236823
101208,310.7415,410.1021,0.09689294985980812
119092,38.7466,50.8387,0.09476342371153068
119120,42.1391,54.2038,0.08754731234658863
118636,30.1152,37.8243,0.0789344227876172
100025,26.3169,31.8843,0.06605771836761831
100016,520.4608,583.6113,0.03891150509722663
119599,96.4565,105.4849,0.03027445550195118
119095,52.5238,56.1319,0.02239300143779821
102886,119.2905,125.564,0.017231408330921072
