amfi_code,avg_daily_return
119598,0.0012010157369980656
149324,0.0011941715475284602
120505,0.0011613203372383767
148569,0.0011240540293206527
120843,0.001081754914045031
100033,0.0010798038431409668
148567,0.001073675403449081
149323,0.0010551910655344048
119094,0.0010266978562569042
119551,0.0009167982325947294
118632,0.0008652259973214283
101206,0.0008517723174694551
120504,0.0008430464116382315
148568,0.0008250722735460028
119552,0.0007852425930349881
125497,0.0007095223731125696
118634,0.0007071093821003067
120503,0.000697595408431375
102885,0.0006741587522893979
120506,0.0006501094769466271
102887,0.000645340694310669
118633,0.0006163137445172902
118635,0.000600473969875538
149322,0.0005222511308194414
120841,0.0005220152587214266
125498,0.00047686346287115325
101207,0.0004244528681492361
119093,0.00032985864437101356
120842,0.0003119045881482731
119092,0.0002749789297660477
120507,0.0002676525413793258
120844,0.0002561287499929851
101208,0.00024154628565905978
119120,0.00022226830595075775
118636,0.00020153331311365723
119599,0.00020131692580289563
119095,0.00018236517391230026
100025,0.00017005379350090052
100016,0.00014159930699210853
102886,0.0001098147223397074
